improve their understanding of mathematics < s > work better at group activities,['send tasks to other groups'],"{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the green sloth < s > the three - toed sloth,['animal kingdom'],"{'Bleu_1': 9.090909090082646e-17, 'Bleu_2': 9.534625891545801e-17, 'Bleu_3': 1.0033557297469767e-16, 'Bleu_4': 1.0600313378380957e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
how can we save ? < s > what ' s the life of the average ? < s > how can we save ?,['saving in india'],"{'Bleu_1': 3.99999999984e-17, 'Bleu_2': 4.0824829044719294e-17, 'Bleu_3': 4.169080726515258e-17, 'Bleu_4': 4.2601467362601026e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
those who spread rumors . < s > those who invented fake information .,['internet companies'],"{'Bleu_1': 7.14285714234694e-17, 'Bleu_2': 7.412493166061185e-17, 'Bleu_3': 7.707540023952376e-17, 'Bleu_4': 8.032276872167517e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
pemex,['texas city [ sep ] mexico city'],"{'Bleu_1': 2.4787521717088717e-18, 'Bleu_2': 7.838502621608071e-14, 'Bleu_3': 2.478752173361376e-12, 'Bleu_4': 1.3939047821026512e-11, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
he had been in japan for many years .,['knew the young man would kill himself'],"{'Bleu_1': 1.1111111109876545e-16, 'Bleu_2': 1.1785113018384495e-16, 'Bleu_3': 1.2565790683898578e-16, 'Bleu_4': 1.34851118576642e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
improve their instruments,['learn repair skills'],"{'Bleu_1': 3.333333331111112e-16, 'Bleu_2': 4.082482901576769e-16, 'Bleu_3': 5.503212076293578e-16, 'Bleu_4': 1.1362193655679926e-13, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
reduces the cost of goods < s > makes up one third of household ' s waste in the uk < s > reduces the production of food,['means burning packaging for energy'],"{'Bleu_1': 3.571428571301021e-17, 'Bleu_2': 3.636964837134243e-17, 'Bleu_3': 3.7053987627062876e-17, 'Bleu_4': 3.776949794382395e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
didn ' t like the school < s > went to riverside school,['made friends with many boys'],"{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
a little rock from her mother,['digging task on the playground [ sep ] love of the muddy playground'],"{'Bleu_1': 5.190053730179944e-17, 'Bleu_2': 5.685419005272017e-17, 'Bleu_3': 6.313391030721217e-17, 'Bleu_4': 7.149035918596495e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
get the best job in our society,['graduate from college more quickly'],"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
have been receiving reports about ufos for years < s > provide many ufos,"['usually sees no more than a weather balloon or an airplane every year [ sep ] is a branch of the united states air force [ sep ] used "" pie plates skipping over water "" to describe the ufo seen by the people first']","{'Bleu_1': 7.802250634333332e-18, 'Bleu_2': 8.096778131543272e-18, 'Bleu_3': 8.419062266345836e-18, 'Bleu_4': 8.773777225568093e-18, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
london,['hong kong'],"{'Bleu_1': 3.678794404356842e-16, 'Bleu_2': 1.1633369367066766e-11, 'Bleu_3': 3.678794406809376e-10, 'Bleu_4': 2.068738122000421e-09, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
a swimming team < s > an important study on the swimming team,['easier said than done'],"{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
have a higher level of protein < s > have a slight increase in blood pressure,['lose weight faster [ sep ] put on weight faster'],"{'Bleu_1': 6.249999999609375e-17, 'Bleu_2': 6.454972243262145e-17, 'Bleu_3': 6.676572574796897e-17, 'Bleu_4': 6.917184227725562e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
both want to win oscars for their films,['they graduated from the same university'],"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
read more fairy tales,['feel there is a moral to the story'],"{'Bleu_1': 9.196986024687569e-17, 'Bleu_2': 1.0619764713730698e-16, 'Bleu_3': 1.2753667899107654e-16, 'Bleu_4': 1.6620829993657386e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
the internet,['things you can do online'],"{'Bleu_1': 1.1156507996264998e-16, 'Bleu_2': 1.577768491309742e-16, 'Bleu_3': 1.7709852529562713e-13, 'Bleu_4': 5.9333610708186794e-12, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
never thought summer was boring < s > didn ' t like rainy days,['could enjoy the brilliant sun in winter'],"{'Bleu_1': 7.14285714234694e-17, 'Bleu_2': 7.412493166061185e-17, 'Bleu_3': 7.707540023952376e-17, 'Bleu_4': 8.032276872167517e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
education choice < s > local communities,['individual school'],"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
had never bought things in the supermarket < s > hoped to see the manager of the supermarket,['is always very lucky'],"{'Bleu_1': 5.555555555246914e-17, 'Bleu_2': 5.716619504423364e-17, 'Bleu_3': 5.889153354909399e-17, 'Bleu_4': 6.074588070506824e-17, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
behavior problems,['study'],"{'Bleu_1': 4.999999997500001e-16, 'Bleu_2': 7.071067806562174e-16, 'Bleu_3': 7.937005255872507e-13, 'Bleu_4': 2.659147947475314e-11, 'ROUGE_L': 0.0, 'CIDEr': 0.0}"
